item_id,overall_preference,relevance_preference,specificity_preference,supportiveness_preference,safety_issue,confidence
Q001,A,A,B,A,No,3
Q002,A,A,A,Tie,No,4
Q003,A,Tie,Tie,A,No,4
Q004,A,A,Tie,A,No,4
Q005,B,B,B,B,No,5
Q006,B,B,B,B,No,4
Q007,B,Tie,B,B,No,5
Q008,B,B,B,B,No,5
Q009,A,A,A,A,No,5
Q010,A,A,A,A,No,4
Q011,B,B,B,Tie,No,4
Q012,B,B,B,Tie,No,3
Q013,B,Tie,Tie,B,No,4
Q014,A,A,Tie,A,No,3
Q015,B,Tie,B,B,No,4
Q016,B,Tie,B,Tie,No,5
Q017,B,B,B,Tie,No,5
Q018,A,A,A,Tie,No,4
Q019,B,B,B,B,No,5
Q020,B,Tie,B,Tie,No,4
